language,id,title,category,url
ru,1,Борщ домашний,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/borshch-domashnii/
ru,2,Щи из свежей капусты,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/shchi-iz-svezhei-kapusty/
ru,3,Куриный суп с лапшой,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/kurinyi-sup-s-lapshoi/
ru,4,Гороховый суп,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/gorokhovyi-sup/
ru,5,Тыквенный суп-пюре,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/tykvennyi-sup-piure/
ru,6,Гречневый суп с овощами,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/grechnevyi-sup-s-ovoshchami/
ru,7,Сырники классические,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/syrniki-klassicheskie/
ru,8,Овсяная каша с яблоком,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/ovsianaia-kasha-s-iablokom/
ru,9,Пшённая каша с тыквой,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/pshionnaia-kasha-s-tykvoi/
ru,10,Омлет с зеленью,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/omlet-s-zelen-iu/
ru,11,Гречка с грибами,Основное,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/grechka-s-gribami/
ru,12,Картофельная запеканка,Основное,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/kartofel-naia-zapekanka/
ru,13,Тушёная капуста,Основное,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/tushionaia-kapusta/
ru,14,Котлеты из индейки,Основное,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/kotlety-iz-indeiki/
ru,15,Яблочная шарлотка,Выпечка,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/iablochnaia-sharlotka/
ru,16,Творожная запеканка,Выпечка,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/tvorozhnaia-zapekanka/
ru,17,Морковное печенье,Выпечка,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/morkovnoe-pechen-e/
ru,18,Оладьи на кефире,Выпечка,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/olad-i-na-kefire/
ru,19,Компот из яблок,Напиток,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/kompot-iz-iablok/
ru,20,Чай с мятой и яблоком,Напиток,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/chai-s-miatoi-i-iablokom/
ru,21,Морс из ягод,Напиток,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/mors-iz-iagod/
ru,22,Салат из свёклы и яблока,Салат,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/salat-iz-sviokly-i-iabloka/
ru,23,Винегрет домашний,Салат,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/vinegret-domashnii/
ru,24,Салат из капусты и моркови,Салат,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/salat-iz-kapusty-i-morkovi/
ru,25,Рассольник с перловкой,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/rassol-nik-s-perlovkoi/
ru,26,Овощной суп с кабачком,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/ovoshchnoi-sup-s-kabachkom/
ru,27,Суп с чечевицей,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/sup-s-chechevitsei/
ru,28,Суп с фрикадельками,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/sup-s-frikadel-kami/
ru,29,Картофельный суп с укропом,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/kartofel-nyi-sup-s-ukropom/
ru,30,Рисовый суп с овощами,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/risovyi-sup-s-ovoshchami/
ru,31,Суп с цветной капустой,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/sup-s-tsvetnoi-kapustoi/
ru,32,Фасолевый суп,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/fasolevyi-sup/
ru,33,Суп с вермишелью,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/sup-s-vermishel-iu/
ru,34,Крем-суп из цветной капусты,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/krem-sup-iz-tsvetnoi-kapusty/
ru,35,Суп-пюре из кабачка,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/sup-piure-iz-kabachka/
ru,36,Перловый суп с овощами,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/perlovyi-sup-s-ovoshchami/
ru,37,Суп с зелёным горошком,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/sup-s-zelionym-goroshkom/
ru,38,Томатный овощной суп,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/tomatnyi-ovoshchnoi-sup/
ru,39,Суп с брокколи,Суп,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/sup-s-brokkoli/
ru,40,Рисовая каша с яблоком,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/risovaia-kasha-s-iablokom/
ru,41,Манная каша с ягодами,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/mannaia-kasha-s-iagodami/
ru,42,Гречневая каша на молоке,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/grechnevaia-kasha-na-moloke/
ru,43,Пшённая каша с яблоком,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/pshionnaia-kasha-s-iablokom/
ru,44,Овсянка с грушей,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/ovsianka-s-grushei/
ru,45,Овсянка с ягодами,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/ovsianka-s-iagodami/
ru,46,Творог с яблоком,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/tvorog-s-iablokom/
ru,47,Запечённые сырники,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/zapechionnye-syrniki/
ru,48,Омлет с помидорами,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/omlet-s-pomidorami/
ru,49,Омлет с кабачком,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/omlet-s-kabachkom/
ru,50,Яичная запеканка с овощами,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/iaichnaia-zapekanka-s-ovoshchami/
ru,51,Ленивые вареники,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/lenivye-vareniki/
ru,52,Рисовая запеканка,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/risovaia-zapekanka/
ru,53,Гренки с яйцом,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/grenki-s-iaitsom/
ru,54,Творожные оладьи,Завтрак,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/tvorozhnye-olad-i/
ru,55,Гречка с овощами,Основное,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/grechka-s-ovoshchami/
ru,56,Рис с овощами,Основное,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/ris-s-ovoshchami/
ru,57,Перловка с грибами,Основное,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/perlovka-s-gribami/
ru,58,Картофель с грибами,Основное,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/kartofel-s-gribami/
ru,59,Запечённый картофель с травами,Основное,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/zapechionnyi-kartofel-s-travami/
ru,60,Овощное рагу,Основное,https://super-meadow-3240.nadiiahonda34.workers.dev/ru/recipes/ovoshchnoe-ragu/
